Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Jan-19,EQ,"1,145.00","1,159.70","1,136.85","1,149.30","1,150.00","1,151.50","1,151.35","1,425.20",637.8,"3,32,711","38,30,66,854.05","9,497"
2-Jan-19,EQ,"1,147.90","1,177.70","1,141.00","1,151.50","1,149.50","1,153.30","1,164.83","1,425.20",637.8,"9,31,011","1,08,44,71,138.80","23,978"
3-Jan-19,EQ,"1,153.00","1,162.95","1,127.45","1,153.30","1,128.65","1,132.65","1,144.06","1,425.20",637.8,"4,35,893","49,86,85,903.75","17,419"
4-Jan-19,EQ,"1,124.00","1,141.75","1,109.30","1,132.65","1,115.50","1,122.70","1,119.12","1,425.20",637.8,"7,23,008","80,91,35,322.85","31,343"
7-Jan-19,EQ,"1,125.90","1,148.00","1,124.95","1,122.70","1,141.00","1,141.40","1,139.97","1,425.20",672.05,"3,99,650","45,55,88,189.10","10,555"
8-Jan-19,EQ,"1,141.95","1,146.70","1,122.10","1,141.40","1,125.00","1,125.20","1,131.37","1,425.20",672.05,"3,03,465","34,33,31,563.50","15,370"
9-Jan-19,EQ,"1,138.00","1,171.80","1,135.00","1,125.20","1,162.30","1,162.25","1,158.32","1,425.20",672.05,"15,44,142","1,78,86,12,586.40","46,858"
10-Jan-19,EQ,"1,163.30","1,168.40","1,148.30","1,162.25","1,154.00","1,151.95","1,155.56","1,425.20",672.05,"4,47,760","51,74,15,654.50","16,800"
11-Jan-19,EQ,"1,156.55","1,165.00","1,135.00","1,151.95","1,164.00","1,162.05","1,148.24","1,425.20",672.05,"5,36,949","61,65,44,068.40","18,938"
14-Jan-19,EQ,"1,168.00","1,191.95","1,147.20","1,162.05","1,190.10","1,187.70","1,168.73","1,425.20",682.85,"9,35,373","1,09,31,96,912.30","34,334"
15-Jan-19,EQ,"1,190.00","1,203.35","1,180.15","1,187.70","1,184.20","1,186.10","1,189.73","1,425.20",682.85,"10,41,890","1,23,95,69,404.65","30,309"
16-Jan-19,EQ,"1,181.20","1,223.00","1,180.00","1,186.10","1,206.15","1,209.60","1,210.04","1,425.20",682.85,"12,60,881","1,52,57,10,623.60","39,373"
17-Jan-19,EQ,"1,221.00","1,229.80","1,205.00","1,209.60","1,220.25","1,222.15","1,220.11","1,425.20",682.85,"9,63,321","1,17,53,58,082.10","33,266"
18-Jan-19,EQ,"1,221.45","1,237.00","1,202.10","1,222.15","1,220.60","1,224.75","1,222.56","1,425.20",682.85,"14,80,479","1,80,99,72,173.00","42,881"
21-Jan-19,EQ,"1,227.10","1,298.80","1,215.50","1,224.75","1,266.60","1,269.10","1,271.48","1,425.20",723.4,"24,67,109","3,13,68,88,804.25","65,694"
22-Jan-19,EQ,"1,262.50","1,303.50","1,261.75","1,269.10","1,301.00","1,295.35","1,287.55","1,425.20",723.4,"18,72,508","2,41,09,50,088.85","52,651"
23-Jan-19,EQ,"1,299.90","1,306.00","1,269.30","1,295.35","1,269.55","1,274.95","1,286.13","1,425.20",723.4,"7,37,956","94,91,05,190.90","23,085"
24-Jan-19,EQ,"1,280.00","1,309.50","1,268.20","1,274.95","1,307.00","1,300.70","1,295.94","1,425.20",723.4,"11,03,506","1,43,00,74,085.40","41,139"
25-Jan-19,EQ,"1,302.10","1,323.00","1,288.35","1,300.70","1,298.50","1,294.70","1,309.70","1,425.20",723.4,"12,01,212","1,57,32,29,022.30","38,677"
28-Jan-19,EQ,"1,299.00","1,313.85","1,284.20","1,294.70","1,295.00","1,291.00","1,297.15","1,425.20",735.1,"6,70,736","87,00,44,274.55","34,602"
29-Jan-19,EQ,"1,299.05","1,314.40","1,287.00","1,291.00","1,305.00","1,305.20","1,303.81","1,425.20",735.1,"8,45,242","1,10,20,32,200.85","30,650"
30-Jan-19,EQ,"1,312.85","1,315.95","1,274.45","1,305.20","1,285.70","1,286.10","1,291.78","1,425.20",735.1,"6,25,321","80,77,75,823.35","20,738"
31-Jan-19,EQ,"1,291.80","1,315.55","1,282.00","1,286.10","1,310.10","1,310.75","1,303.49","1,425.20",735.1,"5,42,130","70,66,61,787.25","20,850"
