Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Jan-19,EQ,962,965,952.85,964.35,960,959.85,959.67,"1,125.05",875.95,"3,58,734","34,42,67,067.55","13,573"
2-Jan-19,EQ,959,962,939.15,959.85,946.1,946.35,951.62,"1,125.05",875.95,"11,35,048","1,08,01,37,677.30","54,434"
3-Jan-19,EQ,950,960,945,946.35,949,948.35,951.41,"1,125.05",875.95,"14,04,612","1,33,63,62,678.70","94,610"
4-Jan-19,EQ,946,950.55,925,948.35,932,932.35,933.58,"1,125.05",875.95,"15,38,639","1,43,64,47,339.90","75,497"
7-Jan-19,EQ,939.9,950,935.9,932.35,945,941.55,943.79,"1,125.05",880.05,"11,72,376","1,10,64,76,987.25","42,886"
8-Jan-19,EQ,948,948,933.1,941.55,944.1,945.15,939.04,"1,125.05",880.05,"15,15,788","1,42,33,78,696.75","50,912"
9-Jan-19,EQ,947,948.55,932.3,945.15,936.25,938.4,939.38,"1,125.05",880.05,"12,35,860","1,16,09,36,551.35","57,356"
10-Jan-19,EQ,943,943,932,938.4,934,935.85,934.79,"1,125.05",880.05,"9,16,048","85,63,13,909.85","49,114"
11-Jan-19,EQ,935,941,920,935.85,939.55,940.05,932.75,"1,125.05",880.05,"21,65,684","2,02,00,43,026.25","67,632"
14-Jan-19,EQ,941,944,928,940.05,939,937.2,935.83,"1,125.05",880.05,"9,78,404","91,56,22,185.60","63,466"
15-Jan-19,EQ,929,955.9,929,937.2,948,947.7,944.15,"1,125.05",880.05,"18,46,946","1,74,37,85,455.40","54,577"
16-Jan-19,EQ,948,954.2,936.75,947.7,937.4,938.25,942.4,"1,125.05",880.05,"8,50,621","80,16,24,750.85","38,214"
17-Jan-19,EQ,935.1,957,933.1,938.25,952.8,954.7,947.05,"1,125.05",880.05,"18,45,117","1,74,74,09,014.75","62,042"
18-Jan-19,EQ,948.6,968.75,946.35,954.7,968,966.3,961.13,"1,125.05",880.05,"23,42,528","2,25,14,69,610.10","1,08,597"
21-Jan-19,EQ,969.05,981.5,962.05,966.3,964,965.75,970.41,"1,125.05",880.05,"16,32,709","1,58,44,00,479.70","94,058"
22-Jan-19,EQ,962,964.55,937,965.75,943.5,940.75,945.88,"1,125.05",880.05,"23,95,796","2,26,61,38,530.05","1,32,016"
23-Jan-19,EQ,947.5,949.95,938.7,940.75,943.15,944.45,944.14,"1,125.05",880.05,"28,20,793","2,66,32,27,157.05","1,02,446"
24-Jan-19,EQ,944.9,953.7,939.25,944.45,948,946.45,943.7,"1,125.05",880.05,"14,77,391","1,39,42,12,107.25","71,894"
25-Jan-19,EQ,949,975.7,946.1,946.45,975,969.4,965.23,"1,125.05",880.05,"21,55,004","2,08,00,70,433.35","81,191"
28-Jan-19,EQ,973,980,963.9,969.4,975.6,977.8,972.4,"1,125.05",880.05,"15,14,965","1,47,31,58,462.75","52,055"
29-Jan-19,EQ,978,994.85,961.1,977.8,989.6,988.45,977.7,"1,125.05",880.05,"23,66,569","2,31,37,89,311.75","81,335"
30-Jan-19,EQ,"1,018.00","1,035.00","1,001.50",988.45,"1,016.20","1,018.40","1,017.65","1,125.05",880.05,"70,26,674","7,15,07,22,003.85","2,15,504"
31-Jan-19,EQ,"1,019.60","1,023.15",986.75,"1,018.40","1,006.00","1,005.20","1,003.34","1,125.05",880.05,"45,29,214","4,54,43,38,902.65","1,51,145"
1-Feb-19,EQ,"1,010.60","1,050.00","1,010.50","1,005.20","1,041.55","1,043.85","1,032.80","1,125.05",880.05,"32,30,111","3,33,60,50,061.20","1,20,862"
4-Feb-19,EQ,"1,045.00","1,057.80","1,040.30","1,043.85","1,046.00","1,044.80","1,048.49","1,125.05",880.05,"20,66,972","2,16,71,90,804.80","1,27,537"
5-Feb-19,EQ,"1,046.50","1,055.00","1,041.50","1,044.80","1,045.40","1,047.75","1,047.61","1,125.05",880.05,"11,84,282","1,24,06,70,270.00","84,616"
6-Feb-19,EQ,"1,051.00","1,064.95","1,045.10","1,047.75","1,056.00","1,055.20","1,057.76","1,125.05",880.05,"11,65,500","1,23,28,23,223.55","52,531"
7-Feb-19,EQ,"1,056.00","1,077.80","1,056.00","1,055.20","1,065.00","1,062.90","1,066.36","1,125.05",880.05,"16,25,544","1,73,34,07,237.55","63,949"
8-Feb-19,EQ,"1,060.00","1,076.00","1,058.05","1,062.90","1,068.00","1,068.45","1,069.38","1,125.05",880.05,"18,66,901","1,99,64,20,603.95","64,517"
