Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Jan-19,EQ,"1,716.90","1,723.90","1,691.10","1,708.35","1,715.95","1,716.65","1,713.12","1,855.00",976,"36,717","6,29,00,661.35","2,768"
2-Jan-19,EQ,"1,714.95","1,729.95","1,698.25","1,716.65","1,698.65","1,701.80","1,717.50","1,855.00",976,"65,474","11,24,51,455.20","3,434"
3-Jan-19,EQ,"1,712.25","1,712.25","1,613.00","1,701.80","1,625.15","1,621.85","1,659.73","1,855.00",976,"1,55,781","25,85,55,110.85","10,352"
4-Jan-19,EQ,"1,635.00","1,641.50","1,590.00","1,621.85","1,623.00","1,624.00","1,618.87","1,855.00",976,"1,52,819","24,73,94,479.10","7,467"
7-Jan-19,EQ,"1,630.00","1,649.90","1,612.10","1,624.00","1,637.00","1,633.45","1,632.06","1,855.00",976,"59,677","9,73,96,147.50","4,037"
8-Jan-19,EQ,"1,648.00","1,672.00","1,621.75","1,633.45","1,648.10","1,649.55","1,648.87","1,855.00",976,"1,08,871","17,95,13,848.30","5,498"
9-Jan-19,EQ,"1,659.95","1,670.00","1,635.75","1,649.55","1,649.95","1,644.05","1,649.79","1,855.00",976,"98,334","16,22,30,181.35","12,101"
10-Jan-19,EQ,"1,650.25","1,660.00","1,635.60","1,644.05","1,644.00","1,642.45","1,651.17","1,855.00",976,"79,898","13,19,25,377.35","4,712"
11-Jan-19,EQ,"1,644.00","1,655.00","1,630.50","1,642.45","1,639.00","1,633.20","1,642.52","1,855.00",976,"54,561","8,96,17,642.10","4,317"
14-Jan-19,EQ,"1,647.00","1,654.45","1,622.00","1,633.20","1,651.00","1,649.50","1,640.19","1,855.00",976,"28,296","4,64,10,814.10","2,081"
15-Jan-19,EQ,"1,656.90","1,657.85","1,632.00","1,649.50","1,649.95","1,649.50","1,649.03","1,855.00",976,"39,320","6,48,40,017.30","3,038"
16-Jan-19,EQ,"1,650.00","1,660.00","1,641.10","1,649.50","1,658.00","1,652.00","1,651.06","1,855.00",976,"38,566","6,36,74,913.80","3,041"
17-Jan-19,EQ,"1,670.10","1,698.95","1,643.75","1,652.00","1,692.00","1,693.40","1,674.68","1,855.00",976,"1,26,255","21,14,36,515.30","9,736"
18-Jan-19,EQ,"1,715.00","1,757.65","1,630.00","1,693.40","1,632.10","1,641.25","1,686.79","1,855.00",976,"4,48,657","75,67,89,295.30","23,415"
21-Jan-19,EQ,"1,642.00","1,667.80","1,621.00","1,641.25","1,666.00","1,657.90","1,647.49","1,855.00",980,"1,07,446","17,70,16,109.25","8,707"
22-Jan-19,EQ,"1,650.20","1,692.95","1,647.00","1,657.90","1,666.10","1,666.20","1,670.47","1,855.00",980,"84,041","14,03,87,746.15","14,289"
23-Jan-19,EQ,"1,667.00","1,689.90","1,650.75","1,666.20","1,671.00","1,669.85","1,667.67","1,855.00",980,"64,475","10,75,23,160.95","3,538"
24-Jan-19,EQ,"1,665.95","1,686.75","1,656.00","1,669.85","1,677.75","1,680.90","1,672.44","1,855.00",980,"48,407","8,09,57,645.60","5,765"
25-Jan-19,EQ,"1,676.00","1,720.00","1,673.00","1,680.90","1,674.50","1,677.65","1,697.07","1,855.00",980,"1,06,480","18,07,04,478.90","9,431"
28-Jan-19,EQ,"1,689.95","1,719.00","1,671.10","1,677.65","1,710.00","1,708.75","1,707.86","1,855.00","1,145.50","1,05,494","18,01,68,965.65","18,281"
29-Jan-19,EQ,"1,700.00","1,720.00","1,675.60","1,708.75","1,687.35","1,690.55","1,702.81","1,855.00","1,145.50","93,543","15,92,85,749.70","19,649"
30-Jan-19,EQ,"1,635.00","1,646.50","1,616.25","1,690.55","1,618.25","1,620.10","1,630.00","1,855.00","1,145.50","2,57,267","41,93,46,107.30","6,542"
31-Jan-19,EQ,"1,624.00","1,624.00","1,575.00","1,620.10","1,579.00","1,585.25","1,603.10","1,855.00","1,145.50","2,15,895","34,61,00,276.35","22,379"
1-Feb-19,EQ,"1,582.00","1,615.00","1,582.00","1,585.25","1,597.00","1,599.60","1,598.04","1,855.00","1,145.50","80,452","12,85,65,178.90","7,220"
4-Feb-19,EQ,"1,599.95","1,603.00","1,535.00","1,599.60","1,559.00","1,559.15","1,558.31","1,855.00","1,145.50","1,30,453","20,32,86,847.95","11,882"
5-Feb-19,EQ,"1,576.80","1,604.00","1,544.30","1,559.15","1,596.00","1,595.55","1,584.23","1,855.00","1,145.50","1,57,363","24,92,99,877.00","12,879"
6-Feb-19,EQ,"1,599.00","1,609.35","1,566.05","1,595.55","1,581.80","1,584.55","1,583.78","1,855.00","1,145.50","61,681","9,76,88,968.20","6,581"
7-Feb-19,EQ,"1,580.50","1,604.00","1,571.20","1,584.55","1,575.65","1,577.90","1,586.34","1,855.00","1,145.50","74,751","11,85,80,656.85","6,909"
8-Feb-19,EQ,"1,580.00","1,590.40","1,551.35","1,577.90","1,555.00","1,556.70","1,568.29","1,855.00","1,145.50","1,39,222","21,83,39,840.70","8,677"
11-Feb-19,EQ,"1,564.00","1,567.95","1,505.00","1,556.70","1,530.00","1,532.35","1,527.45","1,855.00","1,145.50","1,01,126","15,44,65,164.55","12,713"
12-Feb-19,EQ,"1,550.00","1,559.00","1,526.50","1,532.35","1,540.35","1,545.45","1,546.76","1,855.00","1,145.50","35,575","5,50,26,030.85","5,013"
13-Feb-19,EQ,"1,530.00","1,535.00","1,503.00","1,545.45","1,511.00","1,512.60","1,519.75","1,855.00","1,145.50","50,692","7,70,39,236.40","11,152"
14-Feb-19,EQ,"1,515.00","1,527.00","1,502.20","1,512.60","1,506.15","1,507.85","1,511.25","1,855.00","1,145.50","49,356","7,45,89,188.95","9,487"
15-Feb-19,EQ,"1,531.00","1,531.00","1,475.00","1,507.85","1,499.80","1,493.60","1,490.05","1,855.00","1,145.50","1,18,952","17,72,44,201.10","14,579"
18-Feb-19,EQ,"1,475.00","1,492.00","1,458.00","1,493.60","1,462.00","1,466.95","1,471.43","1,855.00","1,145.50","86,810","12,77,34,974.35","18,865"
19-Feb-19,EQ,"1,476.00","1,476.00","1,410.00","1,466.95","1,411.70","1,415.60","1,431.30","1,855.00","1,145.50","2,23,726","32,02,19,366.95","38,962"
20-Feb-19,EQ,"1,427.65","1,469.70","1,404.90","1,415.60","1,460.30","1,461.15","1,443.80","1,855.00","1,145.50","2,15,215","31,07,27,409.65","16,692"
21-Feb-19,EQ,"1,473.30","1,495.00","1,472.20","1,461.15","1,485.30","1,486.75","1,485.32","1,855.00","1,145.50","1,61,868","24,04,25,160.65","24,820"
22-Feb-19,EQ,"1,495.00","1,506.95","1,486.20","1,486.75","1,490.00","1,493.25","1,496.67","1,855.00","1,145.50","72,677","10,87,73,122.80","6,754"
25-Feb-19,EQ,"1,503.80","1,522.00","1,481.25","1,493.25","1,506.05","1,499.35","1,510.43","1,855.00","1,145.50","85,738","12,95,01,216.70","7,295"
26-Feb-19,EQ,"1,495.00","1,511.70","1,467.25","1,499.35","1,500.25","1,498.90","1,497.49","1,855.00","1,145.50","1,18,583","17,75,76,864.10","14,849"
27-Feb-19,EQ,"1,520.00","1,520.00","1,493.65","1,498.90","1,500.50","1,502.90","1,505.09","1,855.00","1,145.50","1,22,891","18,49,62,433.40","27,228"
28-Feb-19,EQ,"1,512.00","1,545.00","1,510.00","1,502.90","1,531.45","1,535.75","1,528.41","1,855.00","1,145.50","82,446","12,60,11,013.20","11,262"
1-Mar-19,EQ,"1,526.30","1,569.00","1,525.25","1,535.75","1,547.85","1,550.80","1,553.68","1,855.00","1,145.50","86,251","13,40,06,049.55","6,019"
5-Mar-19,EQ,"1,551.00","1,565.45","1,528.00","1,550.80","1,536.70","1,537.50","1,545.05","1,855.00","1,145.50","48,290","7,46,10,578.50","5,618"
6-Mar-19,EQ,"1,538.00","1,560.00","1,538.00","1,537.50","1,542.10","1,542.95","1,546.49","1,855.00","1,145.50","58,768","9,08,83,954.50","7,518"
7-Mar-19,EQ,"1,545.00","1,555.40","1,525.10","1,542.95","1,528.00","1,530.45","1,534.63","1,855.00","1,145.50","81,888","12,56,68,032.05","5,994"
8-Mar-19,EQ,"1,527.00","1,554.45","1,520.00","1,530.45","1,545.00","1,543.15","1,542.10","1,855.00","1,145.50","64,466","9,94,13,006.90","8,798"
11-Mar-19,EQ,"1,556.85","1,560.25","1,542.80","1,543.15","1,544.65","1,547.55","1,553.55","1,855.00","1,145.50","56,521","8,78,08,263.90","5,827"
12-Mar-19,EQ,"1,547.95","1,559.50","1,535.00","1,547.55","1,540.00","1,545.80","1,551.10","1,855.00","1,145.50","39,223","6,08,38,967.90","5,307"
13-Mar-19,EQ,"1,540.00","1,550.05","1,532.00","1,545.80","1,543.00","1,541.15","1,540.13","1,855.00","1,145.50","75,210","11,58,33,276.90","11,032"
14-Mar-19,EQ,"1,548.00","1,548.00","1,506.55","1,541.15","1,509.90","1,513.75","1,531.31","1,855.00","1,145.50","63,142","9,66,90,184.20","8,604"
15-Mar-19,EQ,"1,520.00","1,538.00","1,495.00","1,513.75","1,496.00","1,499.80","1,503.34","1,855.00","1,145.50","79,900","12,01,17,034.80","11,143"
18-Mar-19,EQ,"1,520.00","1,520.00","1,477.95","1,499.80","1,488.70","1,491.40","1,493.19","1,855.00","1,145.50","29,200","4,36,01,098.75","3,807"
19-Mar-19,EQ,"1,470.10","1,528.75","1,470.10","1,491.40","1,481.00","1,486.75","1,498.18","1,855.00","1,145.50","1,25,358","18,78,08,895.60","17,300"
20-Mar-19,EQ,"1,499.45","1,529.00","1,472.85","1,486.75","1,486.45","1,487.75","1,508.16","1,855.00","1,145.50","1,27,614","19,24,62,773.05","12,827"
22-Mar-19,EQ,"1,489.00","1,508.40","1,485.00","1,487.75","1,488.00","1,489.90","1,495.03","1,855.00","1,145.50","48,071","7,18,67,459.20","7,042"
25-Mar-19,EQ,"1,475.00","1,482.05","1,429.00","1,489.90","1,444.10","1,441.40","1,450.96","1,855.00","1,145.50","1,32,257","19,18,99,353.55","14,736"
26-Mar-19,EQ,"1,447.20","1,468.00","1,447.20","1,441.40","1,458.45","1,463.10","1,461.47","1,855.00","1,145.50","60,895","8,89,95,982.30","6,211"
27-Mar-19,EQ,"1,470.00","1,489.00","1,452.00","1,463.10","1,458.00","1,465.45","1,474.21","1,855.00","1,145.50","81,711","12,04,58,964.60","12,212"
28-Mar-19,EQ,"1,460.00","1,549.00","1,460.00","1,465.45","1,541.00","1,544.85","1,512.16","1,855.00","1,145.50","1,47,464","22,29,89,163.25","10,189"
29-Mar-19,EQ,"1,550.00","1,599.00","1,521.60","1,544.85","1,580.20","1,572.25","1,550.40","1,855.00","1,145.50","3,15,896","48,97,63,751.50","10,189"
1-Apr-19,EQ,"1,581.00","1,619.10","1,581.00","1,572.25","1,619.10","1,612.05","1,607.85","1,855.00","1,145.50","1,31,735","21,18,10,024.95","29,942"
2-Apr-19,EQ,"1,623.80","1,645.00","1,610.00","1,612.05","1,639.00","1,632.35","1,628.33","1,855.00","1,145.50","97,134","15,81,66,354.65","15,568"
3-Apr-19,EQ,"1,642.00","1,644.95","1,565.05","1,632.35","1,580.00","1,582.20","1,626.04","1,855.00","1,145.50","1,34,456","21,86,30,879.95","9,432"
4-Apr-19,EQ,"1,590.00","1,618.15","1,571.25","1,582.20","1,585.00","1,584.00","1,590.99","1,855.00","1,145.50","65,547","10,42,84,378.40","13,445"
5-Apr-19,EQ,"1,585.00","1,616.00","1,577.00","1,584.00","1,615.00","1,608.70","1,597.14","1,855.00","1,145.50","49,652","7,93,01,406.80","5,681"
8-Apr-19,EQ,"1,617.00","1,617.00","1,576.55","1,608.70","1,595.00","1,595.65","1,593.97","1,855.00","1,145.50","31,538","5,02,70,608.15","5,221"
9-Apr-19,EQ,"1,600.00","1,610.00","1,561.00","1,595.65","1,595.55","1,591.40","1,581.65","1,855.00","1,145.50","41,320","6,53,53,586.05","5,753"
10-Apr-19,EQ,"1,591.00","1,611.00","1,581.05","1,591.40","1,590.00","1,601.05","1,597.23","1,855.00","1,145.50","40,121","6,40,82,338.75","4,765"
11-Apr-19,EQ,"1,616.00","1,650.00","1,601.25","1,601.05","1,630.10","1,632.95","1,626.49","1,855.00","1,145.50","1,35,581","22,05,21,181.20","16,363"
12-Apr-19,EQ,"1,635.00","1,674.00","1,630.00","1,632.95","1,657.95","1,654.50","1,651.12","1,855.00","1,145.50","1,31,513","21,71,44,081.40","12,416"
15-Apr-19,EQ,"1,655.00","1,704.00","1,655.00","1,654.50","1,699.70","1,692.60","1,692.03","1,855.00","1,145.50","1,28,681","21,77,32,680.70","12,834"
16-Apr-19,EQ,"1,699.60","1,714.85","1,650.00","1,692.60","1,674.00","1,664.60","1,681.55","1,855.00","1,145.50","71,692","12,05,53,433.35","5,974"
18-Apr-19,EQ,"1,675.00","1,728.00","1,674.00","1,664.60","1,684.60","1,680.40","1,702.41","1,855.00","1,145.50","1,75,969","29,95,72,145.50","17,264"
22-Apr-19,EQ,"1,670.00","1,711.10","1,658.95","1,680.40","1,666.65","1,666.30","1,690.86","1,855.00","1,156.00","79,060","13,36,79,426.60","8,726"
23-Apr-19,EQ,"1,672.45","1,709.70","1,672.45","1,666.30","1,697.90","1,696.00","1,692.71","1,855.00","1,156.00","1,46,234","24,75,32,415.95","5,626"
