Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Jan-19,EQ,"1,731.20","1,733.80","1,705.10","1,731.20","1,709.00","1,713.45","1,717.60","1,987.00","1,075.05","36,404","6,25,27,619.85","3,210"
2-Jan-19,EQ,"1,722.90","1,753.90","1,705.00","1,713.45","1,727.20","1,733.55","1,738.16","1,987.00","1,075.05","1,31,933","22,93,20,829.15","14,164"
3-Jan-19,EQ,"1,733.55","1,760.00","1,731.00","1,733.55","1,734.20","1,738.15","1,750.50","1,987.00","1,075.05","1,88,170","32,93,92,435.40","14,634"
4-Jan-19,EQ,"1,744.00","1,754.00","1,674.95","1,738.15","1,691.00","1,693.20","1,696.74","1,987.00","1,075.05","1,80,512","30,62,82,683.15","15,423"
7-Jan-19,EQ,"1,708.90","1,718.95","1,699.35","1,693.20","1,709.40","1,709.70","1,709.16","1,987.00","1,075.05","1,02,330","17,48,98,852.40","11,461"
8-Jan-19,EQ,"1,713.00","1,716.00","1,684.00","1,709.70","1,690.10","1,688.20","1,694.60","1,987.00","1,075.05","1,10,580","18,73,89,269.85","5,819"
9-Jan-19,EQ,"1,696.10","1,774.00","1,690.00","1,688.20","1,756.00","1,755.65","1,724.58","1,987.00","1,075.05","2,50,572","43,21,32,439.15","12,114"
10-Jan-19,EQ,"1,777.00","1,822.00","1,758.60","1,755.65","1,785.00","1,789.90","1,805.12","1,987.00","1,075.05","3,01,057","54,34,42,624.75","26,213"
11-Jan-19,EQ,"1,785.00","1,798.90","1,712.85","1,789.90","1,738.00","1,731.20","1,744.70","1,987.00","1,075.05","1,38,640","24,18,85,196.80","18,105"
14-Jan-19,EQ,"1,731.05","1,757.00","1,711.65","1,731.20","1,741.00","1,729.20","1,735.35","1,987.00","1,075.05","1,06,114","18,41,45,079.20","12,706"
15-Jan-19,EQ,"1,739.80","1,745.00","1,706.15","1,729.20","1,729.15","1,731.75","1,730.32","1,987.00","1,075.05","1,04,396","18,06,38,277.60","8,135"
16-Jan-19,EQ,"1,741.00","1,774.00","1,735.00","1,731.75","1,765.60","1,768.95","1,754.17","1,987.00","1,075.05","88,045","15,44,46,067.95","10,260"
17-Jan-19,EQ,"1,779.90","1,800.00","1,768.00","1,768.95","1,773.00","1,780.80","1,785.60","1,987.00","1,075.05","1,27,885","22,83,50,841.40","14,599"
18-Jan-19,EQ,"1,787.70","1,819.00","1,755.00","1,780.80","1,798.00","1,807.25","1,793.55","1,987.00","1,075.05","3,33,207","59,76,22,504.05","23,616"
21-Jan-19,EQ,"1,805.00","1,805.00","1,768.00","1,807.25","1,778.00","1,779.80","1,779.60","1,987.00","1,107.00","3,01,619","53,67,62,372.50","28,862"
22-Jan-19,EQ,"1,778.00","1,800.00","1,762.30","1,779.80","1,778.00","1,777.80","1,779.90","1,987.00","1,107.00","1,21,217","21,57,53,673.40","22,794"
23-Jan-19,EQ,"1,792.00","1,800.00","1,739.15","1,777.80","1,753.85","1,756.95","1,782.67","1,987.00","1,107.00","2,48,782","44,34,95,470.30","25,526"
24-Jan-19,EQ,"1,763.80","1,773.40","1,740.00","1,756.95","1,745.00","1,747.00","1,754.93","1,987.00","1,107.00","65,547","11,50,30,180.30","6,294"
25-Jan-19,EQ,"1,745.00","1,762.00","1,710.00","1,747.00","1,710.80","1,713.45","1,731.97","1,987.00","1,107.00","86,229","14,93,46,000.50","9,569"
28-Jan-19,EQ,"1,713.00","1,747.45","1,681.00","1,713.45","1,725.00","1,702.70","1,711.80","1,987.00","1,155.00","1,14,823","19,65,54,453.45","15,288"
29-Jan-19,EQ,"1,720.00","1,735.00","1,700.00","1,702.70","1,708.70","1,710.80","1,711.22","1,987.00","1,155.00","51,435","8,80,16,451.30","8,366"
30-Jan-19,EQ,"1,710.00","1,739.80","1,691.70","1,710.80","1,731.00","1,731.85","1,723.73","1,987.00","1,155.00","1,36,202","23,47,75,454.40","7,938"
31-Jan-19,EQ,"1,730.00","1,770.00","1,719.25","1,731.85","1,758.00","1,760.85","1,744.06","1,987.00","1,155.00","1,77,926","31,03,14,146.20","12,606"
1-Feb-19,EQ,"1,770.00","1,785.00","1,752.60","1,760.85","1,766.00","1,768.75","1,771.39","1,987.00","1,155.00","71,991","12,75,24,209.10","17,081"
4-Feb-19,EQ,"1,757.90","1,765.70","1,741.50","1,768.75","1,753.00","1,754.70","1,750.85","1,987.00","1,155.00","50,440","8,83,12,886.70","6,467"
5-Feb-19,EQ,"1,750.00","1,870.00","1,750.00","1,754.70","1,809.00","1,814.80","1,831.81","1,987.00","1,155.00","4,23,680","77,61,01,409.25","41,539"
6-Feb-19,EQ,"1,821.90","1,856.25","1,818.05","1,814.80","1,853.00","1,849.05","1,834.18","1,987.00","1,155.00","1,68,603","30,92,47,457.00","26,478"
7-Feb-19,EQ,"1,870.00","1,896.70","1,850.50","1,849.05","1,857.00","1,871.15","1,883.50","1,987.00","1,155.00","2,00,619","37,78,66,464.65","22,865"
8-Feb-19,EQ,"1,865.75","1,872.90","1,826.65","1,871.15","1,840.30","1,840.65","1,841.34","1,987.00","1,155.00","1,06,659","19,63,95,814.30","5,704"
11-Feb-19,EQ,"1,844.00","1,844.00","1,781.05","1,840.65","1,790.05","1,795.10","1,803.84","1,987.00","1,271.50","1,91,046","34,46,16,473.20","9,313"
12-Feb-19,EQ,"1,797.00","1,835.00","1,770.05","1,795.10","1,787.00","1,788.05","1,792.29","1,987.00","1,271.50","1,01,126","18,12,47,138.50","17,369"
13-Feb-19,EQ,"1,790.00","1,816.70","1,778.65","1,788.05","1,780.00","1,789.30","1,799.64","1,987.00","1,271.50","2,02,283","36,40,36,633.65","12,271"
14-Feb-19,EQ,"1,788.95","1,788.95","1,763.25","1,789.30","1,765.90","1,769.15","1,773.24","1,987.00","1,271.50","32,711","5,80,04,590.55","3,937"
15-Feb-19,EQ,"1,770.00","1,795.00","1,725.25","1,769.15","1,782.00","1,781.05","1,756.11","1,987.00","1,271.50","1,00,275","17,60,93,939.75","13,062"
18-Feb-19,EQ,"1,775.00","1,775.00","1,740.05","1,781.05","1,745.25","1,748.00","1,750.86","1,987.00","1,271.50","74,466","13,03,79,836.85","3,946"
19-Feb-19,EQ,"1,742.25","1,755.00","1,725.15","1,748.00","1,732.70","1,738.20","1,739.45","1,987.00","1,271.50","53,503","9,30,65,838.40","14,370"
20-Feb-19,EQ,"1,732.70","1,768.90","1,629.00","1,738.20","1,720.00","1,735.50","1,726.89","1,987.00","1,271.50","1,42,437","24,59,73,455.95","14,305"
21-Feb-19,EQ,"1,729.95","1,748.20","1,720.00","1,735.50","1,730.00","1,725.55","1,729.92","1,987.00","1,271.50","57,733","9,98,73,332.90","9,406"
22-Feb-19,EQ,"1,732.80","1,737.45","1,711.30","1,725.55","1,714.00","1,715.15","1,719.99","1,987.00","1,271.50","50,313","8,65,38,090.60","6,291"
25-Feb-19,EQ,"1,716.00","1,732.75","1,696.00","1,715.15","1,700.00","1,704.35","1,706.40","1,987.00","1,271.50","82,916","14,14,87,818.95","12,341"
26-Feb-19,EQ,"1,695.00","1,719.95","1,680.50","1,704.35","1,698.95","1,699.40","1,698.30","1,987.00","1,271.50","52,708","8,95,14,102.40","5,344"
27-Feb-19,EQ,"1,714.85","1,736.25","1,692.05","1,699.40","1,729.15","1,725.85","1,713.70","1,987.00","1,271.50","1,09,195","18,71,27,887.50","15,139"
28-Feb-19,EQ,"1,742.00","1,743.70","1,710.00","1,725.85","1,718.00","1,719.55","1,724.11","1,987.00","1,271.50","53,949","9,30,13,833.00","6,523"
1-Mar-19,EQ,"1,720.00","1,741.55","1,705.20","1,719.55","1,716.50","1,711.05","1,715.83","1,987.00","1,271.50","68,187","11,69,96,999.50","11,147"
5-Mar-19,EQ,"1,721.00","1,727.00","1,666.00","1,711.05","1,672.50","1,671.90","1,680.06","1,987.00","1,271.50","2,29,598","38,57,39,381.95","24,348"
6-Mar-19,EQ,"1,684.00","1,690.00","1,648.00","1,671.90","1,650.00","1,649.90","1,664.57","1,987.00","1,271.50","1,82,090","30,31,02,155.50","18,808"
7-Mar-19,EQ,"1,650.00","1,667.60","1,635.30","1,649.90","1,640.00","1,640.40","1,648.68","1,987.00","1,271.50","1,08,095","17,82,13,534.15","11,659"
