Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Jan-19,EQ,"1,019.00","1,020.00",999.1,"1,018.45","1,002.00","1,005.60","1,008.83","1,278.80",707.1,"1,14,361","11,53,71,260.50","6,284"
2-Jan-19,EQ,"1,004.50","1,009.75",988,"1,005.60",988,989.4,994.63,"1,278.80",707.1,"1,52,577","15,17,57,936.95","8,376"
3-Jan-19,EQ,989,999,945,989.4,945.9,948.8,960.98,"1,278.80",707.1,"5,61,410","53,95,05,215.90","71,906"
4-Jan-19,EQ,948.95,958.7,916,948.8,926.9,930.45,930.15,"1,278.80",707.1,"4,66,413","43,38,36,325.45","57,415"
7-Jan-19,EQ,940,944,920,930.45,924.95,925.3,928.23,"1,278.80",707.1,"2,03,261","18,86,72,425.00","16,596"
8-Jan-19,EQ,924,930.05,920.6,925.3,921,924.8,924.88,"1,278.80",707.1,"1,87,824","17,37,14,688.30","19,975"
9-Jan-19,EQ,925,927.95,896.45,924.8,901,904.95,908.11,"1,278.80",707.1,"3,89,089","35,33,36,871.80","31,700"
10-Jan-19,EQ,904,917.1,890,904.95,901.75,903.55,904.7,"1,278.80",707.1,"3,75,233","33,94,72,263.45","26,348"
11-Jan-19,EQ,900,905.05,886,903.55,895.5,899.15,894.83,"1,278.80",707.1,"2,46,122","22,02,36,122.60","16,665"
14-Jan-19,EQ,896,909.45,859.6,899.15,866,876.45,885.07,"1,278.80",728.05,"4,31,765","38,21,41,495.40","30,411"
15-Jan-19,EQ,873.5,887.85,869.15,876.45,875,876.45,878.6,"1,278.80",728.05,"1,68,134","14,77,23,021.25","12,596"
16-Jan-19,EQ,880,884.75,858,876.45,861,863.2,867.64,"1,278.80",728.05,"2,71,073","23,51,92,625.75","17,275"
17-Jan-19,EQ,867.7,905.25,864.6,863.2,901,900.7,888.52,"1,278.80",728.05,"5,37,130","47,72,52,112.60","33,682"
18-Jan-19,EQ,901.05,909.8,861.25,900.7,865.3,871.6,883.76,"1,278.80",728.05,"3,22,628","28,51,24,543.30","24,376"
21-Jan-19,EQ,868,879.9,861.35,871.6,877.5,877.05,872.28,"1,278.80",788.7,"2,13,991","18,66,60,769.95","13,534"
22-Jan-19,EQ,875.5,875.5,863.1,877.05,869.8,871.2,868.1,"1,278.80",788.7,"1,85,590","16,11,11,282.85","9,755"
23-Jan-19,EQ,868.1,904.5,868.1,871.2,900.7,897.95,893.33,"1,278.80",788.7,"4,42,978","39,57,25,677.55","22,147"
24-Jan-19,EQ,899.95,925,899,897.95,921.6,921.25,916.34,"1,278.80",788.7,"5,22,968","47,92,16,654.60","26,307"
25-Jan-19,EQ,922,934.9,901,921.25,920.3,920.9,921.03,"1,278.80",788.7,"5,61,635","51,72,83,817.95","37,247"
28-Jan-19,EQ,915,945.9,901,920.9,938,940.95,929.01,"1,278.80",799,"3,26,801","30,36,02,721.40","24,127"
29-Jan-19,EQ,935,979,935,940.95,976,972.8,956.11,"1,278.80",799,"5,80,973","55,54,73,275.60","40,771"
30-Jan-19,EQ,980,"1,016.00",978,972.8,"1,014.00","1,011.20","1,000.49","1,278.80",799,"8,72,640","87,30,68,834.75","50,626"
31-Jan-19,EQ,"1,010.90","1,027.70",981.15,"1,011.20",992,"1,002.65","1,012.89","1,278.80",799,"6,31,600","63,97,43,727.80","24,283"
1-Feb-19,EQ,997.05,"1,023.90",994.5,"1,002.65","1,010.00","1,009.75","1,014.18","1,278.80",799,"2,36,768","24,01,25,800.60","16,274"
4-Feb-19,EQ,"1,014.00","1,024.80","1,000.20","1,009.75","1,017.50","1,016.55","1,015.54","1,278.80",799,"1,24,350","12,62,81,989.85","8,256"
5-Feb-19,EQ,"1,020.00","1,041.80","1,004.15","1,016.55","1,015.75","1,017.75","1,027.18","1,278.80",799,"4,36,062","44,79,13,173.85","18,097"
6-Feb-19,EQ,"1,022.00","1,042.00","1,015.00","1,017.75","1,031.00","1,026.35","1,025.56","1,278.80",799,"2,32,767","23,87,15,582.90","11,305"
7-Feb-19,EQ,"1,029.90","1,030.00","1,010.05","1,026.35","1,018.10","1,022.90","1,019.30","1,278.80",799,"1,26,029","12,84,61,677.85","6,682"
8-Feb-19,EQ,"1,012.10","1,028.00","1,012.10","1,022.90","1,028.00","1,019.75","1,016.66","1,278.80",799,"1,31,556","13,37,48,017.85","7,662"
11-Feb-19,EQ,"1,019.75","1,024.00",987.35,"1,019.75",996.7,996.65,"1,001.25","1,278.80",799,"2,40,162","24,04,62,352.80","18,294"
12-Feb-19,EQ,996.7,"1,024.95",992.25,996.65,"1,020.55","1,021.25","1,010.85","1,278.80",799,"1,67,643","16,94,61,618.65","12,223"
13-Feb-19,EQ,"1,013.25","1,044.95","1,011.00","1,021.25","1,035.50","1,035.55","1,036.84","1,278.80",799,"4,61,297","47,82,91,493.50","22,892"
14-Feb-19,EQ,"1,032.60","1,051.00","1,029.35","1,035.55","1,049.90","1,048.65","1,044.48","1,278.80",799,"2,89,882","30,27,75,881.05","10,595"
15-Feb-19,EQ,"1,050.00","1,063.00","1,040.00","1,048.65","1,049.75","1,053.75","1,053.34","1,278.80",799,"3,32,370","35,01,00,243.95","18,042"
18-Feb-19,EQ,"1,044.00","1,051.85","1,033.25","1,053.75","1,043.45","1,041.20","1,040.32","1,278.80",799,"1,14,685","11,93,09,378.65","7,039"
19-Feb-19,EQ,"1,035.15","1,052.70","1,034.90","1,041.20","1,044.50","1,044.45","1,043.93","1,278.80",799,"1,02,717","10,72,29,058.30","12,070"
20-Feb-19,EQ,"1,044.00","1,046.80","1,030.10","1,044.45","1,040.60","1,041.25","1,039.73","1,278.80",799,"3,78,680","39,37,26,374.85","37,321"
21-Feb-19,EQ,"1,035.95","1,041.20","1,014.25","1,041.25","1,016.35","1,019.25","1,024.65","1,278.80",799,"1,29,640","13,28,36,143.55","17,966"
22-Feb-19,EQ,"1,013.10","1,024.45",992,"1,019.25","1,011.25","1,016.20","1,004.95","1,278.80",799,"2,91,798","29,32,41,002.05","19,851"
25-Feb-19,EQ,"1,013.25","1,032.00","1,006.05","1,016.20","1,017.70","1,022.80","1,020.68","1,278.80",799,"1,68,525","17,20,09,738.20","11,506"
26-Feb-19,EQ,"1,013.00","1,034.50","1,003.75","1,022.80","1,027.05","1,027.35","1,018.70","1,278.80",799,"91,221","9,29,26,537.25","9,575"
27-Feb-19,EQ,"1,023.20","1,045.00","1,006.55","1,027.35","1,044.50","1,038.10","1,024.90","1,278.80",799,"1,71,124","17,53,84,781.70","17,145"
28-Feb-19,EQ,"1,045.00","1,059.90","1,020.95","1,038.10","1,050.70","1,041.20","1,034.26","1,278.80",799,"1,84,948","19,12,83,639.50","12,534"
1-Mar-19,EQ,"1,043.55","1,049.50","1,026.00","1,041.20","1,029.90","1,033.25","1,038.34","1,278.80",799,"78,111","8,11,06,037.35","7,366"
5-Mar-19,EQ,"1,027.90","1,027.90","1,005.50","1,033.25","1,005.75","1,009.95","1,012.12","1,278.80",799,"3,77,949","38,25,29,179.50","30,451"
6-Mar-19,EQ,"1,012.25","1,016.95",979,"1,009.95",983.95,990.95,999.32,"1,278.80",799,"2,47,656","24,74,87,646.60","16,557"
7-Mar-19,EQ,989.95,"1,003.05",972.55,990.95,999.15,996.6,986.51,"1,278.80",799,"1,86,591","18,40,74,078.30","17,114"
8-Mar-19,EQ,995,999,976.5,996.6,980.75,980.75,982.42,"1,278.80",799,"4,40,620","43,28,72,045.65","18,106"
11-Mar-19,EQ,976.1,"1,002.90",973.55,980.75,990.85,993.3,992.4,"1,278.80",799,"2,68,768","26,67,25,793.60","23,866"
12-Mar-19,EQ,"1,000.00","1,001.95",983,993.3,984,990.75,993.49,"1,278.80",799,"2,82,350","28,05,11,970.30","18,865"
13-Mar-19,EQ,983,988,971.9,990.75,973.55,975.7,979.2,"1,278.80",799,"99,694","9,76,20,119.30","4,972"
14-Mar-19,EQ,982.45,982.45,957,975.7,957,958.5,962.06,"1,278.80",799,"2,65,217","25,51,53,667.25","27,443"
15-Mar-19,EQ,960,993.9,954.4,958.5,985.4,987.65,972.64,"1,278.80",799,"3,11,800","30,32,68,622.20","23,149"
18-Mar-19,EQ,992.9,"1,005.65",968,987.65,971,970.45,980.48,"1,278.80",799,"1,66,565","16,33,14,037.45","14,196"
19-Mar-19,EQ,975.4,990.95,961,970.45,989,978.6,971.79,"1,278.80",799,"2,56,597","24,93,59,143.85","13,278"
20-Mar-19,EQ,982.05,993,980,978.6,987,986.7,984.74,"1,278.80",799,"2,17,489","21,41,69,176.35","7,401"
22-Mar-19,EQ,979.7,"1,001.00",936.45,986.7,968.95,975.85,964.5,"1,278.80",799,"2,85,338","27,52,08,725.35","15,794"
25-Mar-19,EQ,975.85,975.85,946,975.85,948.05,950.2,952.91,"1,278.80",799,"1,66,240","15,84,12,338.95","9,271"
26-Mar-19,EQ,952,961.95,940.1,950.2,947.65,952.65,952.04,"1,278.80",799,"1,42,163","13,53,44,301.85","11,124"
27-Mar-19,EQ,952.9,955.7,937,952.65,950,950.6,946.56,"1,278.80",799,"2,15,002","20,35,12,959.00","16,365"
28-Mar-19,EQ,946,977.15,940.5,950.6,966.55,965.3,958.81,"1,278.80",799,"3,73,114","35,77,45,434.10","27,474"
29-Mar-19,EQ,960,"1,009.00",952.05,965.3,999.5,991.1,973.92,"1,278.80",799,"3,75,406","36,56,14,716.80","25,567"
1-Apr-19,EQ,997.25,"1,017.40",975.25,991.1,980.95,986.75,"1,000.06","1,278.80",838,"1,41,374","14,13,82,988.90","9,902"
2-Apr-19,EQ,988,"1,004.00",975.1,986.75,991.5,991.5,988.24,"1,278.80",838,"1,17,728","11,63,43,558.30","10,551"
3-Apr-19,EQ,995,995.1,974.1,991.5,975.05,978.2,981.16,"1,278.80",838,"83,712","8,21,34,592.90","6,517"
4-Apr-19,EQ,984.9,984.9,961.05,978.2,974.9,978.3,970.29,"1,278.80",838,"1,50,903","14,64,18,923.35","12,438"
5-Apr-19,EQ,982,985,970.1,978.3,971.05,975.35,977.87,"1,278.80",838,"1,86,856","18,27,20,932.35","15,810"
