Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Jan-20,EQ,246.5,248.65,246.2,245.8,247.65,247.7,247.76,388.95,232.2,"14,13,866","35,02,93,363.05","14,240"
2-Jan-20,EQ,246.6,249.9,246.35,247.7,248.35,248.3,248.39,388.95,232.2,"14,43,966","35,86,70,699.90","19,476"
3-Jan-20,EQ,249.5,252.7,247.35,248.3,251,251.1,250.99,388.95,232.2,"33,81,404","84,86,88,995.10","38,677"
6-Jan-20,EQ,251,254.45,250.15,251.1,251.95,252.15,252.4,388.95,232.2,"45,66,695","1,15,26,36,703.85","42,374"
7-Jan-20,EQ,253.25,256.35,250.2,252.15,255,255.2,254.01,388.95,232.2,"44,02,787","1,11,83,30,017.90","39,798"
8-Jan-20,EQ,254,256.15,252.55,255.2,254.6,254.8,254.57,388.95,232.2,"27,94,410","71,13,75,621.45","33,853"
9-Jan-20,EQ,254.25,256.5,252.65,254.8,255,253.65,254.33,388.95,232.2,"24,95,023","63,45,52,359.35","28,366"
10-Jan-20,EQ,253.95,255.2,251,253.65,251.95,251.75,253.15,388.95,232.2,"20,56,577","52,06,21,896.15","31,607"
13-Jan-20,EQ,254,257.9,252.85,251.75,255.3,254.8,255.37,388.95,232.2,"69,63,599","1,77,82,62,374.90","56,180"
14-Jan-20,EQ,256.85,258.35,254.55,254.8,256,257.2,256.53,388.95,232.2,"72,96,777","1,87,18,50,317.20","62,567"
15-Jan-20,EQ,254,256,246.6,257.2,248.2,248.25,248.86,388.95,232.2,"1,01,40,451","2,52,35,42,001.80","82,450"
16-Jan-20,EQ,248,252.6,247,248.25,250.3,250.45,250.14,388.95,232.2,"88,11,836","2,20,41,92,485.80","63,303"
17-Jan-20,EQ,252,253.9,249.65,250.45,250.85,251.1,251.84,388.95,232.2,"41,40,818","1,04,28,22,124.95","38,092"
20-Jan-20,EQ,250.8,250.8,247.2,251.1,248.2,248,248.48,388.95,232.2,"19,08,583","47,42,50,615.65","19,877"
21-Jan-20,EQ,247.9,248.2,246,248,246.85,247.1,247.13,388.95,232.2,"15,07,942","37,26,61,226.00","26,134"
22-Jan-20,EQ,248.6,251.95,245.4,247.1,246.4,245.85,247.89,388.95,232.2,"34,00,424","84,29,47,677.30","51,607"
23-Jan-20,EQ,246.45,249.1,245.35,245.85,248.95,248.7,247.73,388.95,232.2,"16,96,544","42,02,82,524.00","30,500"
24-Jan-20,EQ,248.65,249.45,246.25,248.7,247.75,247.6,248,388.95,232.2,"17,10,777","42,42,70,071.40","23,039"
27-Jan-20,EQ,247.9,247.9,244.75,247.6,245.2,245.35,245.52,388.95,232.2,"16,53,497","40,59,68,520.25","19,616"
28-Jan-20,EQ,245.9,246.1,241.8,245.35,244,244.05,243.42,388.95,232.2,"21,36,181","51,99,83,662.35","38,147"
29-Jan-20,EQ,244.6,247.4,243.25,244.05,246.3,246.75,246.22,388.95,232.2,"20,04,689","49,36,00,906.15","33,122"
30-Jan-20,EQ,247.6,247.6,240.2,246.75,240.95,240.7,242.41,388.95,232.2,"21,47,465","52,05,57,483.15","29,602"
31-Jan-20,EQ,238,239.15,235,240.7,236.5,236.8,236.84,388.95,232.2,"55,53,638","1,31,52,99,454.75","58,779"
1-Feb-20,EQ,236.5,239.35,234.3,236.8,237.15,236.8,236.5,388.95,232.2,"21,00,563","49,67,78,392.80","20,180"
3-Feb-20,EQ,237.7,240.15,235.25,236.8,236.8,237.4,237.39,388.95,232.2,"42,31,830","1,00,45,74,850.75","47,901"
4-Feb-20,EQ,239,241.25,237.9,237.4,240.55,240.25,239.57,388.95,232.2,"31,64,756","75,81,92,230.20","36,774"
5-Feb-20,EQ,241.6,243,237.3,240.25,242.4,242.25,240.58,388.95,232.2,"38,75,603","93,24,08,905.15","44,897"
6-Feb-20,EQ,242.75,245.95,241.65,242.25,243.65,243.65,243.87,388.95,232.2,"30,56,198","74,53,28,704.70","32,387"
7-Feb-20,EQ,247,247,242.95,243.65,243.55,243.95,244.49,388.95,232.2,"27,59,512","67,46,65,035.45","31,057"
10-Feb-20,EQ,245.4,245.65,239.45,243.95,241.25,240.9,241.01,388.95,232.2,"22,58,996","54,44,47,009.65","25,746"
11-Feb-20,EQ,240.55,242.9,239.8,240.9,241.15,241.25,241.15,388.95,232.2,"27,30,310","65,84,26,524.75","29,387"
12-Feb-20,EQ,241.7,247.15,241.7,241.25,244.7,244.45,244.84,388.95,232.2,"34,19,400","83,72,20,850.85","30,707"
13-Feb-20,EQ,245.8,245.8,242.5,244.45,243.7,243.75,243.73,388.95,232.2,"24,14,955","58,86,06,959.85","23,979"
14-Feb-20,EQ,243.8,245.35,242,243.75,243.5,242.9,243.38,388.95,232.2,"18,09,793","44,04,67,337.85","23,737"
17-Feb-20,EQ,242.9,245,241.95,242.9,243.85,243.8,243.37,388.95,232.2,"10,17,778","24,76,93,012.90","12,576"
18-Feb-20,EQ,243.75,244.85,241.25,243.8,244,244.05,242.94,388.95,232.2,"12,52,637","30,43,10,138.90","16,527"
19-Feb-20,EQ,244.5,248.35,244.5,244.05,247.95,247.6,246.89,388.95,232.2,"17,85,384","44,07,89,981.60","24,285"
19-Feb-20,EQ,244.5,248.35,244.5,244.05,247.95,247.6,246.89,388.95,232.2,"17,85,384","44,07,89,981.60","24,285"
19-Feb-20,EQ,244.5,248.35,244.5,244.05,247.95,247.6,246.89,388.95,232.2,"17,85,384","44,07,89,981.60","24,285"
19-Feb-20,EQ,244.5,248.35,244.5,244.05,247.95,247.6,246.89,388.95,232.2,"17,85,384","44,07,89,981.60","24,285"
19-Feb-20,EQ,244.5,248.35,244.5,244.05,247.95,247.6,246.89,388.95,232.2,"17,85,384","44,07,89,981.60","24,285"
20-Feb-20,EQ,248,248.55,245.1,247.6,245.85,245.7,246.71,388.95,232.2,"21,20,807","52,32,34,630.90","24,362"
24-Feb-20,EQ,245,247.8,242.4,245.7,244.05,244.2,245.45,388.95,232.2,"35,21,975","86,44,71,815.85","38,370"
24-Feb-20,EQ,245,247.8,242.4,245.7,244.05,244.2,245.45,388.95,232.2,"35,21,975","86,44,71,815.85","38,370"
25-Feb-20,EQ,244.15,246.65,242.45,244.2,244,244.1,244.35,388.95,232.2,"25,29,786","61,81,42,911.85","23,406"
26-Feb-20,EQ,243.05,243.45,238.4,244.1,239.95,239.9,239.99,388.95,232.2,"39,94,194","95,85,62,328.10","35,163"
27-Feb-20,EQ,238.95,238.95,230.5,239.9,231.45,231.6,233.24,388.95,230.5,"48,66,814","1,13,51,30,613.30","63,615"
28-Feb-20,EQ,228.5,229.5,219.7,231.6,222.4,221.45,223.36,388.95,219.7,"56,37,309","1,25,91,75,651.25","75,674"
2-Mar-20,EQ,225.8,227,218.4,221.45,220.65,220.8,223.58,374.65,218.4,"57,66,175","1,28,91,95,929.00","65,848"
3-Mar-20,EQ,224,225.8,220.6,220.8,223.25,223.7,223.1,374.65,218.4,"51,73,113","1,15,41,03,726.05","41,834"
3-Mar-20,EQ,224,225.8,220.6,220.8,223.25,223.7,223.1,374.65,218.4,"51,73,113","1,15,41,03,726.05","41,834"
3-Mar-20,EQ,224,225.8,220.6,220.8,223.25,223.7,223.1,374.65,218.4,"51,73,113","1,15,41,03,726.05","41,834"
3-Mar-20,EQ,224,225.8,220.6,220.8,223.25,223.7,223.1,374.65,218.4,"51,73,113","1,15,41,03,726.05","41,834"
3-Mar-20,EQ,224,225.8,220.6,220.8,223.25,223.7,223.1,374.65,218.4,"51,73,113","1,15,41,03,726.05","41,834"
3-Mar-20,EQ,224,225.8,220.6,220.8,223.25,223.7,223.1,374.65,218.4,"51,73,113","1,15,41,03,726.05","41,834"
4-Mar-20,EQ,224.9,229.75,222.45,223.7,228.9,228.85,225.53,374.65,218.4,"45,18,178","1,01,89,74,224.15","81,745"
4-Mar-20,EQ,224.9,229.75,222.45,223.7,228.9,228.85,225.53,374.65,218.4,"45,18,178","1,01,89,74,224.15","81,745"
4-Mar-20,EQ,224.9,229.75,222.45,223.7,228.9,228.85,225.53,374.65,218.4,"45,18,178","1,01,89,74,224.15","81,745"
4-Mar-20,EQ,224.9,229.75,222.45,223.7,228.9,228.85,225.53,374.65,218.4,"45,18,178","1,01,89,74,224.15","81,745"
4-Mar-20,EQ,224.9,229.75,222.45,223.7,228.9,228.85,225.53,374.65,218.4,"45,18,178","1,01,89,74,224.15","81,745"
4-Mar-20,EQ,224.9,229.75,222.45,223.7,228.9,228.85,225.53,374.65,218.4,"45,18,178","1,01,89,74,224.15","81,745"
5-Mar-20,EQ,229.05,233.9,228.65,228.85,230.3,229.7,231.29,374.65,218.4,"29,70,778","68,71,12,891.25","42,428"
6-Mar-20,EQ,225,226,222.55,229.7,223.25,223.55,224.18,374.65,218.4,"29,34,283","65,78,18,198.60","30,480"
9-Mar-20,EQ,220.2,221,213,223.55,215,214.4,215.27,301.6,213,"87,31,114","1,87,95,29,836.90","67,373"
11-Mar-20,EQ,203.7,214.4,203.7,214.4,212.95,213.1,211.6,301.6,203.7,"61,35,166","1,29,81,93,543.40","73,294"
12-Mar-20,EQ,204,206.95,197.5,213.1,200,199.1,202.82,301.6,197.5,"53,82,005","1,09,15,85,740.50","63,340"
13-Mar-20,EQ,199,204.45,169.25,199.1,199,197.4,192.96,301.6,169.25,"65,21,699","1,25,84,10,025.25","76,155"
16-Mar-20,EQ,193.95,193.95,178.55,197.4,180,179.75,184.72,301.6,169.25,"56,00,578","1,03,45,24,025.30","91,089"
17-Mar-20,EQ,178.55,185.55,170.75,179.75,173.2,173.1,179.3,301.6,169.25,"60,87,886","1,09,15,65,835.05","53,650"
18-Mar-20,EQ,176.7,178.5,168.5,173.1,171.9,169.95,173.17,301.6,168.5,"63,67,196","1,10,26,14,407.80","65,169"
19-Mar-20,EQ,165,171.35,159.4,169.95,161.8,162.35,166.44,301.6,159.4,"59,90,642","99,70,69,281.45","69,150"
20-Mar-20,EQ,163.1,185.8,162.5,162.35,178,179.2,176.72,301.6,159.4,"1,01,60,070","1,79,55,36,401.65","86,219"
23-Mar-20,EQ,165,177,165,179.2,171.5,170.15,173,301.6,159.4,"53,60,393","92,73,43,313.45","56,816"
24-Mar-20,EQ,168.5,181.75,168.05,170.15,178.25,176.35,176.78,301.6,159.4,"60,37,867","1,06,73,78,793.50","78,461"
25-Mar-20,EQ,177.4,188,170.2,176.35,172.5,174.65,175.95,301.6,159.4,"67,28,276","1,18,38,53,668.20","81,762"
26-Mar-20,EQ,176.95,186.8,172.5,174.65,180.6,182.6,180.17,301.6,159.4,"51,24,357","92,32,51,037.30","46,356"
27-Mar-20,EQ,183.15,189.5,181.5,182.6,184.65,183.5,185.15,301.6,159.4,"67,67,560","1,25,30,23,967.65","40,065"
30-Mar-20,EQ,181.1,187.4,179.35,183.5,185.25,184.15,184.5,301.6,159.4,"36,67,803","67,66,92,029.25","47,445"
31-Mar-20,EQ,187,199.8,185.65,184.15,196.1,196.7,194.94,301.6,159.4,"53,07,678","1,03,46,56,565.35","62,061"
1-Apr-20,EQ,195.7,195.7,187,196.7,188.65,189.5,190.06,301.6,159.4,"49,37,836","93,84,89,498.35","63,336"
3-Apr-20,EQ,188,189.6,177.75,189.5,180.15,180,181.23,301.6,159.4,"65,73,737","1,19,13,49,404.15","79,843"
7-Apr-20,EQ,188.25,192.7,183.05,180,191.95,191.9,189.5,301.6,159.4,"47,81,444","90,61,01,475.25","56,566"
8-Apr-20,EQ,191.5,200,188.8,191.9,193,192.9,194.98,301.6,159.4,"51,37,654","1,00,17,41,684.35","53,517"
9-Apr-20,EQ,198.4,202.95,195.05,192.9,196.6,196.7,197.6,301.6,159.4,"34,65,831","68,48,32,185.95","36,684"
13-Apr-20,EQ,198,198,182.9,196.7,189.6,189.2,189.05,301.6,159.4,"61,93,223","1,17,08,01,308.15","69,489"
15-Apr-20,EQ,190.05,193.6,185.8,189.2,186.45,186.55,189.46,301.6,159.4,"1,13,26,600","2,14,59,34,350.40","1,12,441"
16-Apr-20,EQ,180,189.75,180,186.55,189,187.85,185.9,301.6,159.4,"2,16,90,456","4,03,22,51,772.20","1,50,354"
17-Apr-20,EQ,192.5,193.75,185.55,187.85,187.2,187,188.26,301.6,159.4,"66,06,453","1,24,37,51,579.15","96,023"
20-Apr-20,EQ,189,189,180.15,187,180.55,181.1,183.33,301.6,159.4,"81,01,663","1,48,53,10,274.95","79,381"
21-Apr-20,EQ,179,179.9,173.8,181.1,178.3,178.05,176.98,301.6,159.4,"90,43,319","1,60,04,79,912.50","75,722"
22-Apr-20,EQ,177,179.5,175.05,178.05,178.3,178.55,177.59,301.6,159.4,"53,11,640","94,32,80,894.55","62,150"
23-Apr-20,EQ,179.4,182.6,177.1,178.55,181,180.9,180.23,301.6,159.4,"55,55,420","1,00,12,36,515.50","54,314"
24-Apr-20,EQ,179.95,180.8,177.15,180.9,178.2,177.75,178.12,301.6,159.4,"46,41,140","82,66,73,995.70","50,379"
27-Apr-20,EQ,180,182.9,175.5,177.75,182.4,182.05,179.43,301.6,159.4,"91,41,635","1,64,02,88,478.00","84,011"
28-Apr-20,EQ,182.1,182.95,178,182.05,180.35,179.7,179.49,301.6,159.4,"66,64,917","1,19,62,86,572.25","51,736"
29-Apr-20,EQ,180.1,182.45,179.4,179.7,180.8,180.65,180.9,301.6,159.4,"50,30,900","91,01,10,030.60","50,928"
30-Apr-20,EQ,185,192.6,183.55,180.65,191.15,190.95,188.19,301.6,159.4,"88,33,932","1,66,24,19,830.85","83,434"
4-May-20,EQ,184.5,191.3,183.05,190.95,190.3,190.05,188.51,301.6,159.4,"85,70,375","1,61,56,34,269.45","72,943"
5-May-20,EQ,191.45,194,182.2,190.05,185.85,184.2,187.31,301.6,159.4,"69,32,589","1,29,85,57,823.45","59,026"
6-May-20,EQ,185.7,188,181,184.2,186.95,187.05,185.91,301.6,159.4,"54,42,793","1,01,18,72,178.90","54,797"
7-May-20,EQ,184,185.4,181.2,187.05,184.25,184.1,183.62,301.6,159.4,"57,01,094","1,04,68,32,104.55","66,725"
8-May-20,EQ,185.2,186,182.55,184.1,183.85,184,184.24,301.6,159.4,"41,13,747","75,79,08,000.35","52,916"
11-May-20,EQ,185,189.95,184.1,184,184.95,184.7,187.07,301.6,159.4,"43,93,928","82,19,93,995.95","37,691"
12-May-20,EQ,184.2,188,182.6,184.7,186.5,187.05,185.81,301.6,159.4,"35,15,679","65,32,61,536.20","47,880"
13-May-20,EQ,191.5,191.5,185.15,187.05,190.3,189.7,188.53,301.6,159.4,"52,80,548","99,55,24,952.70","56,504"
14-May-20,EQ,184.75,187.35,183.1,189.7,185.7,186,185.49,301.6,159.4,"51,62,330","95,75,57,788.80","51,701"
15-May-20,EQ,186,186,182.65,186,183.6,183.8,184.48,301.6,159.4,"34,25,171","63,18,83,825.10","35,083"
18-May-20,EQ,182.05,185,179.6,183.8,182.25,182.2,182.35,301.6,159.4,"72,27,687","1,31,79,89,565.75","52,137"
19-May-20,EQ,182.25,186,178,182.2,184.8,184.4,183.01,301.6,159.4,"57,43,344","1,05,11,11,542.25","59,514"
20-May-20,EQ,185,185.9,182.2,184.4,185,184.95,184.14,301.6,159.4,"77,07,953","1,41,93,20,421.50","58,552"
21-May-20,EQ,183.4,191.7,183.4,184.95,189.05,189.1,188.7,301.6,159.4,"71,29,397","1,34,53,14,993.45","52,137"
22-May-20,EQ,189.05,190.85,186.45,189.1,189.5,189,188.73,301.6,159.4,"45,88,831","86,60,35,350.60","35,230"
26-May-20,EQ,189,193.2,185.7,189,189.6,188.8,190.05,301.6,159.4,"59,11,144","1,12,34,21,413.65","63,196"
27-May-20,EQ,189.6,205.5,187.7,188.8,201.8,201.25,195.53,301.6,159.4,"1,80,83,494","3,53,57,90,761.10","1,06,522"
28-May-20,EQ,203.5,203.5,196.05,201.25,199.4,199.35,198.81,301.6,159.4,"1,23,47,801","2,45,48,87,720.20","1,01,956"
29-May-20,EQ,199.35,214.9,196.15,199.35,211.9,212.8,208.47,301.6,159.4,"3,06,30,218","6,38,56,18,888.80","2,05,122"
1-Jun-20,EQ,215.5,221,213.4,212.8,214.8,215.05,217.29,301.6,159.4,"1,33,74,769","2,90,62,26,343.45","1,07,515"
2-Jun-20,EQ,215.1,218.55,210.95,215.05,216.45,215.85,215.74,301.6,159.4,"64,07,279","1,38,22,94,913.65","60,225"
3-Jun-20,EQ,216.1,217.45,210.55,215.85,212.1,211.35,212.6,301.6,159.4,"84,22,156","1,79,05,70,348.30","77,553"
4-Jun-20,EQ,211.35,219.95,210.15,211.35,219.6,216.25,213.84,301.6,159.4,"73,97,708","1,58,19,44,981.70","63,620"
5-Jun-20,EQ,220,220.25,215,216.25,218.8,218.75,217.89,301.6,159.4,"72,45,834","1,57,87,77,565.45","65,850"
8-Jun-20,EQ,219,227.3,215.85,218.75,225.5,226.45,222.96,301.6,159.4,"1,22,13,696","2,72,32,06,065.55","1,07,881"
9-Jun-20,EQ,224.1,226.3,217.15,226.45,218.1,218.35,222.64,301.6,159.4,"78,45,381","1,74,66,79,122.25","66,958"
10-Jun-20,EQ,220,221.05,215.6,218.35,216.4,217,217.98,301.6,159.4,"73,94,276","1,61,17,71,352.05","62,139"
11-Jun-20,EQ,217,217.65,212.35,217,213.05,212.9,215.5,301.6,159.4,"62,48,955","1,34,66,48,649.50","58,639"
12-Jun-20,EQ,208,209.5,206.3,212.9,208.1,207.9,207.96,301.6,159.4,"62,09,370","1,29,13,03,999.15","56,578"
15-Jun-20,EQ,211.95,217.9,208.15,207.9,213.3,213.8,213.18,300.75,159.4,"1,42,56,050","3,03,91,67,942.35","82,008"
16-Jun-20,EQ,217.45,217.9,209.6,213.8,211.9,212.4,213.89,300.75,159.4,"79,60,887","1,70,27,51,724.85","60,317"
17-Jun-20,EQ,212,218.75,211.05,212.4,217.6,217.8,216.87,300.75,159.4,"1,39,69,454","3,02,95,46,133.70","80,014"
18-Jun-20,EQ,216.8,219.3,214.65,217.8,218.3,218.15,217.51,300.75,159.4,"62,04,216","1,34,94,53,473.10","63,152"
19-Jun-20,EQ,218,224.1,215,218.15,222.9,222.05,219.42,300.75,159.4,"1,12,23,711","2,46,27,61,015.95","63,633"
22-Jun-20,EQ,221.15,221.75,216.8,222.05,218.2,218.05,218.21,288,159.4,"64,81,204","1,41,42,64,914.90","46,237"
23-Jun-20,EQ,215,222.3,213,218.05,220.2,220.6,219.1,288,159.4,"74,25,152","1,62,68,21,732.30","57,371"
24-Jun-20,EQ,224,224,217.55,220.6,218.6,218.2,219.54,288,159.4,"82,46,086","1,81,03,77,891.30","54,655"
25-Jun-20,EQ,216.95,222,215.3,218.2,217.75,218.2,219.18,288,159.4,"50,96,856","1,11,71,47,298.80","50,544"
26-Jun-20,EQ,219.3,230,218.3,218.2,225.35,225.45,226.27,288,159.4,"1,91,94,612","4,34,31,31,086.15","1,23,724"
29-Jun-20,EQ,222.05,225.9,218.7,225.45,219.2,219.7,221.82,285.6,159.4,"66,87,961","1,48,35,20,953.10","52,424"
30-Jun-20,EQ,219.6,221.95,218,219.7,219.7,219.65,220.06,285.6,159.4,"55,01,193","1,21,06,05,092.35","47,416"
1-Jul-20,EQ,221,222.4,218.35,219.65,218.9,219.05,219.69,285.6,159.4,"39,52,617","86,83,34,796.60","30,349"
2-Jul-20,EQ,221,225.45,219.55,219.05,223.65,224.2,223.95,285.6,159.4,"71,79,975","1,60,79,60,839.35","69,076"
3-Jul-20,EQ,224.2,228.5,222.65,224.2,224.5,224.8,225.63,285.6,159.4,"54,20,863","1,22,30,96,843.10","39,671"
6-Jul-20,EQ,225.9,227.25,221.6,224.8,223,222.65,224.1,276.15,159.4,"75,88,014","1,70,04,84,171.50","48,036"
7-Jul-20,EQ,223.2,228.4,222,222.65,224.2,224.9,225.49,276.15,159.4,"91,17,569","2,05,59,03,355.55","69,201"
8-Jul-20,EQ,226.65,227.7,222.5,224.9,223.75,223.1,224.96,276.15,159.4,"70,76,184","1,59,18,45,260.90","56,906"
9-Jul-20,EQ,224.25,224.6,219.65,223.1,221.9,221.6,221.3,276.15,159.4,"67,09,048","1,48,47,45,426.70","47,571"
10-Jul-20,EQ,221,223.45,219.5,221.6,222,222.1,221.68,276.15,159.4,"45,48,779","1,00,83,50,695.80","36,953"
13-Jul-20,EQ,223.95,229,222.55,222.1,227.8,227.6,226.74,276.15,159.4,"1,23,47,310","2,79,95,82,311.20","77,983"
14-Jul-20,EQ,228.4,231.7,224.1,227.6,225.3,225,227.66,276.15,159.4,"1,39,39,467","3,17,35,25,161.45","90,444"
15-Jul-20,EQ,236,268.7,235,225,263,262.75,257.53,276.15,159.4,"13,03,67,693","33,57,32,66,451.20","7,56,365"
16-Jul-20,EQ,262.5,268.45,255.05,262.75,261.25,261.9,261.77,276.15,159.4,"5,22,77,954","13,68,45,80,629.25","3,23,654"
17-Jul-20,EQ,258.6,263.85,257,261.9,261.65,261.35,260.31,276.15,159.4,"1,88,56,512","4,90,84,54,092.05","1,28,305"
20-Jul-20,EQ,261.35,273.55,259,261.35,272.95,270.8,265.08,276.15,159.4,"2,13,95,182","5,67,14,26,847.40","2,01,055"
21-Jul-20,EQ,278.5,281.6,269.4,270.8,270.95,271.35,275.78,281.6,159.4,"3,29,99,595","9,10,04,91,670.85","2,32,870"
22-Jul-20,EQ,272.45,272.85,263.65,271.35,265.6,266,266.42,281.6,159.4,"1,25,83,854","3,35,26,48,898.65","1,06,209"
23-Jul-20,EQ,268.3,268.45,262.55,266,267,266.6,265.47,281.6,159.4,"1,03,68,338","2,75,24,46,365.95","74,102"
24-Jul-20,EQ,267,271.8,265.55,266.6,270.05,270.55,268.73,281.6,159.4,"2,21,22,258","5,94,48,82,719.00","1,54,707"
27-Jul-20,EQ,270.55,273.2,267.15,270.55,268.25,268.85,270.34,281.6,159.4,"1,39,90,387","3,78,21,33,238.80","92,377"
28-Jul-20,EQ,269.3,276.75,269.3,268.85,274.3,275.45,273.67,281.6,159.4,"1,40,43,918","3,84,34,41,211.10","1,06,736"
29-Jul-20,EQ,273.8,278,272.35,275.45,276.8,277,276.3,281.6,159.4,"1,07,83,679","2,97,95,12,171.10","96,688"
30-Jul-20,EQ,280.1,286.8,280.1,277,283.9,284.1,284.4,286.8,159.4,"2,58,47,766","7,35,11,09,554.65","1,91,462"
31-Jul-20,EQ,289.6,290.8,278.6,284.1,280.15,280.95,283.33,290.8,159.4,"1,67,00,905","4,73,18,29,865.00","1,62,988"
3-Aug-20,EQ,283,284.8,279.5,280.95,281.4,281.55,281.62,290.8,159.4,"89,08,831","2,50,88,82,441.65","83,686"
4-Aug-20,EQ,281.55,283.35,278.25,281.55,281.2,281.05,280.21,290.8,159.4,"81,19,584","2,27,51,74,592.05","92,967"
5-Aug-20,EQ,281.25,284.45,277.4,281.05,278.1,278.2,280.41,290.8,159.4,"73,45,555","2,05,97,33,806.65","54,824"
6-Aug-20,EQ,280.7,284.25,277.75,278.2,279.85,279.65,280.83,290.8,159.4,"1,01,52,605","2,85,11,56,666.55","70,679"
7-Aug-20,EQ,281.05,281.85,276.4,279.65,277.95,277.4,278.08,290.8,159.4,"73,21,209","2,03,59,17,684.55","45,015"
10-Aug-20,EQ,280,281.2,276.6,277.4,277.15,277.4,278.85,290.8,159.4,"63,10,815","1,75,97,41,947.55","37,813"
